customer_id;first_name;last_name;gender;date_of_birth;email;phone_number;address;city_id;postcode;country_id
CUST97034;Victoria;Hill;Female;1994-06-09;victoria.hill@yahoo.com;7957263192;944 Williams circle;Y2VK;E1 0AB;C001
CUST78652;Ethan;Sharp;Male;2000-06-14;ethan.sharp@outlook.com;7808474504;59 Clive lock;B5VW;M2 1BC;C001
CUST62025;Charlotte;Browne;Female;1982-10-15;charlotte.browne@hotmail.com;7972272513;15 Derek land;XU5I;B3 2CD;C001
CUST38259;Connor;Smith;Male;1986-08-11;connor.smith@gmail.com;7881519870;327 Butler parks;30AN;G4 3DE;C001
CUST53488;Holly;Evans;Female;1997-12-07;holly.evans@hotmail.com;7658408505;390 Lynda bypass;KJRQ;L5 4EF;C001
CUST71644;Linda;Chambers;Female;2003-11-09;linda.chambers@hotmail.com;7582935175;745 Mitchell fall;92R4;LS6 5FG;C001
CUST77363;Erin;Davie;Female;1983-11-23;erin.davie@yahoo.com;7656833626;203 Mohammad rue;PYH6;EH7 6GH;C001
CUST64028;Noah;Owens;Male;1999-12-22;noah.owens@gmail.com;7806311711;354 Simpson walks;7W41;BS8 7HI;C001
CUST93065;Samuel;Buckley;Male;1985-12-03;samuel.buckley@outlook.com;7524886106;921 Pickering point;C6WB;S9 8IJ;C001
CUST24370;Edward;Barnes;Male;1993-01-21;edward.barnes@hotmail.com;7788267644;974 Richardson motorway;XBR7;NG1 9JK;C001
CUST73374;David;Brown;Male;1979-02-06;david.brown@yahoo.com;7592166675;772 Davison way;Y2VK;E2 0KL;C001
CUST72814;Phoebe;Watts;Female;1998-08-22;phoebe.watts@hotmail.com;7154551307;804 Jackson branch;B5VW;M3 1LM;C001
CUST85606;Linda;Anderson;Female;1997-10-01;linda.anderson@outlook.com;7937577760;902 Ashleigh forks;XU5I;B4 2MN;C001
CUST58618;Linda;Williams;Female;1996-01-02;linda.williams@outlook.com;7967968033;298 Reed crescent;30AN;G5 3NO;C001
CUST62492;Megan;Sharp;Female;2002-10-12;megan.sharp@yahoo.com;7535523979;229 Lynn key;KJRQ;L6 4OP;C001
CUST60622;Richard;Walker;Male;2002-02-08;richard.walker@gmail.com;7349540547;557 Law run;92R4;LS7 5PQ;C001
CUST77350;Mia;Reynolds;Female;2003-05-12;mia.reynolds@hotmail.com;7456226632;446 Morgan ford;PYH6;EH8 6QR;C001
CUST18384;Patricia;Brooks;Female;1991-07-20;patricia.brooks@yahoo.com;7899467251;171 Hannah lane;7W41;BS9 7RS;C001
CUST52010;Robert;Jones;Male;2002-04-27;robert.jones@yahoo.com;7138132976;828 Edwards way;C6WB;S1 8ST;C001
CUST91304;Henry;Wilkinson;Male;2006-07-23;henry.wilkinson@outlook.com;7989027455;51 Tony motorway;XBR7;NG2 9TU;C001
CUST17682;Elizabeth;Gibson;Female;1996-04-26;elizabeth.gibson@yahoo.com;7592224891;300 Hancock junction;Y2VK;E3 0UV;C001
CUST21277;Abigail;Day;Female;1987-06-16;abigail.day@outlook.com;7969269513;127 Warren squares;B5VW;M4 1VW;C001
CUST16728;Jennifer;Davies;Female;1992-01-26;jennifer.davies@hotmail.com;7964610774;208 Bryan extensions;XU5I;B5 2WX;C001
CUST22207;Amelia;Wall;Female;1999-01-03;amelia.wall@hotmail.com;7887549017;969 Jayne valley;30AN;G6 3XY;C001
